iter	MultiClass
0	2.189557954
1	2.105113779
2	2.033524325
3	1.970138771
4	1.919633552
5	1.872616962
6	1.833988701
7	1.792611653
8	1.758976023
9	1.725408494
10	1.695911475
11	1.67160425
12	1.646610741
13	1.627186008
14	1.606868102
15	1.585529274
16	1.568143929
17	1.549142035
18	1.529975106
19	1.515119419
20	1.501305912
21	1.486870304
22	1.473463879
23	1.461021824
24	1.448127404
25	1.435402809
26	1.423551265
27	1.411466716
28	1.401142736
29	1.389435718
30	1.378003463
31	1.366117932
32	1.356001184
33	1.346290935
34	1.338476424
35	1.331637368
36	1.322330532
37	1.314573753
38	1.307542397
39	1.301022295
40	1.293925196
41	1.286087581
42	1.278568579
43	1.271182125
44	1.263847265
45	1.257734091
46	1.251386849
47	1.244382853
48	1.237437587
49	1.231031682
50	1.225149042
51	1.219015708
52	1.213713722
53	1.207513943
54	1.20301491
55	1.197885997
56	1.192504975
57	1.187045245
58	1.181051389
59	1.175809383
60	1.170435993
61	1.166658422
62	1.161799402
63	1.157529891
64	1.150264689
65	1.14622306
66	1.141405882
67	1.136944761
68	1.130825868
69	1.127448439
70	1.123162635
71	1.118580269
72	1.114289751
73	1.108456261
74	1.104806448
75	1.100152286
76	1.094885219
77	1.090397902
78	1.086888704
79	1.082789679
80	1.07851906
81	1.074936657
82	1.070147554
83	1.065775992
84	1.061703271
85	1.057521886
86	1.052554335
87	1.048294209
88	1.045253538
89	1.0422887
90	1.039380132
91	1.036276841
92	1.032051592
93	1.028766511
94	1.024285073
95	1.021075104
96	1.017728905
97	1.014187438
98	1.010215245
99	1.007321693
