iter	Passed	Remaining
0	4701	465427
1	9308	456093
2	14054	454439
3	19422	466146
4	24839	471957
5	30429	476733
6	41402	550061
7	47498	546228
8	52667	532528
9	58651	527867
10	64146	519004
11	71347	523215
12	76932	514854
13	82935	509463
14	88632	502251
15	94966	498576
16	100001	488240
17	104943	478075
18	110074	469264
19	115057	460231
20	120353	452757
21	125447	444767
22	130587	437183
23	135939	430476
24	140747	422242
25	145726	414759
26	150635	407272
27	156047	401264
28	161028	394243
29	166345	388139
30	171336	381360
31	176438	374931
32	181209	367911
33	186056	361168
34	190868	354469
35	195739	347982
36	200588	341542
37	205391	335112
38	210021	328495
39	214643	321965
40	219604	316016
41	224415	309906
42	228979	303531
43	233928	297727
44	238800	291867
45	243667	286044
46	248620	280358
47	253272	274378
48	258273	268815
49	263164	263164
50	268232	257713
51	273025	252023
52	278499	246971
53	283609	241593
54	288460	236013
55	293643	230719
56	298551	225223
57	304018	220151
58	309002	214730
59	314100	209400
60	318928	203905
61	324896	199130
62	331153	194486
63	336979	189551
64	343575	185002
65	349711	180154
66	354946	174824
67	360234	169522
68	365825	164356
69	371588	159252
70	377341	154125
71	383036	148958
72	388894	143837
73	394835	138725
74	400016	133338
75	404547	127751
76	409411	122291
77	414134	116807
78	419608	111541
79	424753	106188
80	429869	100833
81	435921	95690
82	441274	90381
83	446763	85097
84	452544	79860
85	458094	74573
86	463391	69242
87	468629	63904
88	474289	58620
89	479478	53275
90	484734	47940
91	490630	42663
92	497231	37426
93	503401	32131
94	509210	26800
95	514648	21443
96	520343	16093
97	525798	10730
98	533711	5391
99	539617	0
